item,apresentacao,quantidade,validade
ACESSÓRIO TIPO JACARÉ,Unidade,0,
ÁCIDO FOSFÓRICO 37% (CONDICIONADOR DENTAL),Pacote com 3,1,08/2026
ÁCIDO FOSFÓRICO 37% (CONDICIONADOR DENTAL),Pacote com 3,13,10/2027
ÁCIDO FOSFÓRICO 37% (CONDICIONADOR DENTAL),Pacote com 3,2,06/2027
ÁCIDO FOSFÓRICO 37% (CONDICIONADOR DENTAL),Pacote com 3,0,02/2028
"ÁCIDO PERACÉTICO 0,2%",5 Litros,5,04/2029
ADESIVO DENTAL UNIVERSAL AUTOCONDICIONANTE (ÂMBAR),Unidade,3,01/2026
ADESIVO DENTAL AUTOCONDICIONAL UNIVERSAL (YBOND),Frasco com 5 ml,0,06/2027
ADESIVO DENTAL AUTOCONDICIONAL UNIVERSAL (YBOND),Frasco com 5 ml,4,11/2027
ADESIVO DENTAL AUTOCONDICIONAL UNIVERSAL (YBOND),Frasco com 5 ml,3,05/2030
AFASTADOR BRANEMARK,Unidade,2,
AFASTADOR DE MEAD,Unidade,4,
AFASTADOR FARABEUF ADULTO 13 X 125 MM,Unidade,12,
AFASTADOR FARABEUF INFANTIL 10 X 120 MM,Unidade,5,
AFASTADOR LATERAL EM U ADULTO AUTOCLAVÁVEL,Unidade,11,05/2019
AGULHA GENGIVAL CURTA,Caixa com 100,4,07/2027
AGULHA GENGIVAL CURTA,Caixa com 100,7,03/2030
AGULHA GENGIVAL LONGA,Caixa com 100,4,02/2027
AGULHA GENGIVAL LONGA,Caixa com 100,3,04/2027
"AGULHA PARA ACUPUNTURA 0,25x30 mm CAPILAR CILÍNDRICA FILIFORME",Caixa com 100,10,08/2028
ALAVANCA POTTS DIREITO,Unidade,6,
ALAVANCA POTTS ESQUERDO,Unidade,6,
ALAVANCA SELDIM DIREITA OU 1 R,Unidade,19,
ALAVANCA SELDIM ESQUERDA OU 1L,Unidade,36,
ÁLCOOL A 96°,Litro,68,
ALGODÃO,Rolo 500g,8,08/2024
ALVEOLÓTOMO RETO 16 CM,Unidade,1,
ARCO DE ISOLAMENTO (ÖSTBY),Unidade,10,05/2025
ARCO ODONTOLÓGICO FORMA DE U P/ ISOLAMENTO (YOUNG),Unidade,0,
"ATADURA DE CREPE 13 FIOS 10cmx1,8metros",Rolo,10,05/2030
AVENTAL DESCARTÁVEL (Gramatura 40),Pacote com 10,15,
AVENTAL DESCARTÁVEL (Gramatura 20),Pacote com 10,122,12/2028
BANDEJA DE INOX,Unidade,0,
BICARBONATO DE SÓDIO PÓ,Sachê com 40g,15,06/2027
BROCA ALTA ROTAÇÃO CARBIDE CÔNICA REF 151 ZECRYA 28 MM,Unidade,15,
BROCA ALTA ROTAÇÃO CARBIDE REF 8,Unidade,35,
BROCA ALTA ROTAÇÃO CÔNICA FG9642,Unidade,20,
BROCA BAIXA ROTAÇÃO N 01 (CA1) BAIXA ROTAÇÃO,Unidade,20,
BROCA BAIXA ROTAÇÃO N 02 (CA2) BAIXA ROTAÇÃO,Unidade,30,
BROCA BAIXA ROTAÇÃO N 03 (CA3) BAIXA ROTAÇÃO,Unidade,20,
BROCA BURS CARBIDE FG 330 ALTA ROTAÇÃO,Unidade,50,
BROCA BURS CARBIDE FG 702C ALTA ROTAÇÃO,Unidade,53,
BROCA BURS CARBIDE FG 703 XC ALTA ROTAÇÃO,Unidade,50,
BROCA CARBIDE ALTA ROTAÇÃO TRONCO CÔNICA N°703,Unidade,20,
BROCA CESPM44 BROCA CARBIDE FRESA DE CARBURO PM 8,Unidade,50,
BROCA DE AÇO 703,Unidade,2,
BROCA DE AÇO CARBONO DENTAL N 010 REF BR AÇO ESF CA 010 2 D 0023,Unidade,70,
BROCA DE AÇO CARBONO DENTAL N 08 REF BR AÇO ESF CA 008 1 D 0023,Unidade,60,
BROCA DE AÇO CARBONO DENTAL N 12 REF BR AÇO ESF CA 012 3 D 0023,Unidade,54,
BROCA DE ALTA ROTAÇÃO 3118 EF/FF,Unidade,10,
BROCA DE ALTA ROTAÇÃO CARBIDE N : FG 245 CONE INVERTIDO,Unidade,45,
BROCA DE ALTA ROTAÇÃO REF: 1012,Unidade,80,
BROCA DE ALTA ROTAÇÃO REF: 1014,Unidade,76,
BROCA DE ALTA ROTAÇÃO REF: 1015,Unidade,56,
BROCA DE ALTA ROTAÇÃO REF: 1019,Unidade,70,
BROCA DE ALTA ROTAÇÃO REF: 1032,Unidade,50,
BROCA DE ALTA ROTAÇÃO REF: 1033,Unidade,50,
BROCA DE ALTA ROTAÇÃO REF: 1034,Unidade,20,
BROCA DE ALTA ROTAÇÃO REF: 2135,Unidade,30,
